Movie_Title,Movie_ID,ListOfCertificate
Divine Secrets of the Ya-Ya Sisterhood,279778,PG-13
Swordfish,244244,R
Seven Pounds,814314,PG-13
Private Benjamin,81375,R
Grumpier Old Men,113228,PG-13
Babe,112431,G
The Bone Collector,145681,R
Contraband,1524137,R
Legends of the Fall,110322,R
The Godfather Part III,99674,R
The Forgotten,356618,PG-13
Charlie Wilson's War,472062,R
Spies in Disguise,5814534,PG
Uncle Buck,98554,PG
Changing Lanes,264472,R
The Mexican,236493,R
Kangaroo Jack,257568,PG
End of Days,146675,R
The Bounty Hunter,1038919,PG-13
Waiting to Exhale,114885,R
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",1698641,PG
The Secret of My Success,93936,PG-13
102 Dalmatians,211181,G
Dante's Peak,118928,PG-13
Looper,1276104,R
Mirror Mirror,1667353,PG
A Dog's Purpose,1753383,PG
Chronicle,1706593,PG-13
The Happening,949731,R
The Purge,2184339,R
Flushed Away,424095,PG
L.A. Confidential,119488,R
Mr. Mom,85970,PG
Staying Alive,86361,PG
Stuart Little 2,243585,PG
Friday the 13th,758746,R
The American President,112346,PG-13
Pitch Perfect,1981677,PG-13
Exodus: Gods and Kings,1528100,PG-13
Wolf,111742,R
About Schmidt,257360,R
Think Like a Man Too,2239832,PG-13
The Fast and the Furious: Tokyo Drift,463985,PG-13
Now You See Me 2,3110958,PG-13
Barbershop 2: Back in Business,337579,PG-13
The Visit,3567288,PG-13
The Wedding Ringer,884732,R
Jack the Giant Slayer,1351685,PG-13
The Crying Game,104036,R
Jarhead,418763,R
Black Mass,1355683,R
The Last Song,1294226,PG
A Nightmare on Elm Street,1179056,R
London Has Fallen,3300542,R
Beavis and Butt-Head Do America,115641,PG-13
Rising Sun,107969,R
Scary Stories to Tell in the Dark,3387520,PG-13
Forgetting Sarah Marshall,800039,R
The Sorcerer's Apprentice,963966,PG
The Holiday,457939,PG-13
The Boss,2702724,R
Dave,106673,PG-13
Saw IV,890870,R
Madea's Family Reunion,455612,PG-13
Scrooged,96061,PG-13
Burn After Reading,887883,R
The Lucky One,1327194,PG-13
The Wedding Planner,209475,PG-13
Shanghai Knights,300471,PG-13
Baby Mama,871426,PG-13
Kiss the Girls,119468,R
Dora and the Lost City of Gold,7547410,PG
After Earth,1815862,PG-13
Jingle All the Way,116705,PG
Three Kings,120188,R
Fantasia 2000,120910,G
Coyote Ugly,200550,"PG-13,R"
Abominable,6324278,PG
God's Not Dead,2528814,PG
Harlem Nights,97481,R
Poseidon,409182,PG-13
Mission to Mars,183523,PG
Planes: Fire & Rescue,2980706,PG
Jack,116669,PG-13
Curious George,381971,G
Jack Reacher: Never Go Back,3393786,PG-13
Little Man,430304,PG-13
"Honey, I Blew Up the Kid",104437,PG
RoboCop,1234721,PG-13
Water for Elephants,1067583,PG-13
The Blue Lagoon,80453,R
Surf's Up,423294,PG
Bride Wars,901476,PG
Total Recall,1386703,PG-13
Chariots of Fire,82158,PG
Vacation,1524930,R
Far and Away,104231,PG-13
Dawn of the Dead,363547,R
Behind Enemy Lines,159273,PG-13
The Grand Budapest Hotel,2278388,R
Courage Under Fire,115956,R
The Lego Ninjago Movie,3014284,PG
Throw Momma from the Train,94142,PG-13
